	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
BC030336	83	51	50	69	65	55	49	44	70
BC030499	7	5	5	1	20	1	5	9	6
BC030500	0	1	0	0	0	0	0	1	1
BC030867	3	5	2	3	5	3	5	5	5
BC030870	1	2	1	0	1	0	0	2	1
BC031181	635	269	354	277	229	160	155	208	234
BC034090	4	12	2	18	13	9	2	4	2
BC035044	741	361	1	465	403	498	272	232	366
BC035947	1	4	0	4	2	6	1	2	8
BC037034	29	22	10	31	37	19	15	43	39
BC048403	11	23	41	34	21	20	9	16	19
BC048502	2	2	0	0	0	0	1	2	0
BC048507	7	1	2	0	0	0	0	2	6
BC048562	0	0	1	1	0	0	0	0	1
BC048671	1	0	4	21	0	0	1	0	0
BC048679	0	1	0	0	1	0	0	1	2
BC049352	210	114	9	191	178	153	72	76	62
BC049715	9	13	2	18	8	3	10	6	9
BC049730	1	4	1	0	2	0	1	1	0
BC049762	2	0	0	1	0	1	0	1	1
BC051019	0	1	1	4	12	2	2	2	5
BC051142	5	9	1	7	23	5	7	12	11
BC051665	0	5	1	15	11	0	4	4	3
BC052040	43	43	48	36	24	19	21	22	17
BC053393	6	0	4	3	3	0	2	4	4
BC055324	33	20	23	17	27	22	20	12	31
BC061212	0	0	0	0	0	0	0	0	0
BC061237	1	5	0	0	1	0	2	8	0
BC067074	13	24	2	3	14	3	3	5	9
BC080695	0	0	0	0	0	0	0	0	0
BC100530	0	5	0	0	1	2	2	0	0
BC106179	1	3	0	0	0	0	4	0	0
BC107364	1	1	0	3	0	0	0	0	0
BC117090	1	0	0	0	0	0	1	4	2
BC147527	333	135	0	106	105	139	55	116	130
Baalc	0	0	0	0	0	0	0	0	0
Baat	8	5	0	2	0	2	0	5	12
Babam1	415	215	291	268	224	175	168	212	216
Babam2	533	326	269	304	285	191	185	250	271
Bace1	80	57	61	19	40	48	34	51	37
Bace2	2	10	1	7	3	3	4	9	8
Bach1	793	497	211	758	578	535	424	624	636
Bach2	48	23	4	38	22	18	62	32	37
Bad	111	51	125	47	42	38	35	80	57
Bag1	183	50	90	60	71	67	49	103	101
Bag2	2	12	10	7	0	2	6	1	0
Bag3	366	174	117	235	226	166	205	148	262
