	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Tnfaip1	63.0			285.0		135.0	164.0	72.0	238.0	209.0	354.0
Tnfaip2	95.0			560.0		171.0	519.0	115.0	257.0	51.0	256.0
Tnfaip3	93.0			284.0		187.0	284.0	102.0	138.0	226.0	2486.0
Tnfaip6	1.0			5.0		1.0	2.0	3.0	8.0	4.0	1.0
Tnfaip8	229.0			1280.0		624.0	1060.0	314.0	855.0	605.0	1224.0
Tnfaip8l1	1.0			4.0		4.0	3.0	1.0	11.0	0.0	24.0
Tnfaip8l2	183.0			1155.0		435.0	961.0	214.0	846.0	493.0	551.0
Tnfaip8l3	0.0			1.0		1.0	0.0	0.0	3.0	17.0	24.0
Tnfrsf10b	1.0			10.0		2.0	8.0	4.0	9.0	4.0	5.0
Tnfrsf11a	13.0			118.0		53.0	98.0	48.0	91.0	16.0	215.0
Tnfrsf11b	0.0			1.0		6.0	0.0	0.0	3.0	3.0	5.0
Tnfrsf12a	3.0			27.0		16.0	33.0	10.0	45.0	53.0	66.0
Tnfrsf13b	174.0			1286.0		489.0	891.0	261.0	1042.0	835.0	725.0
Tnfrsf13c	4.0			2.0		6.0	0.0	1.0	7.0	0.0	2.0
Tnfrsf14	102.0			482.0		212.0	639.0	155.0	504.0	293.0	445.0
Tnfrsf17	1.0			5.0		1.0	1.0	1.0	0.0	2.0	1.0
Tnfrsf18	2.0			17.0		4.0	7.0	2.0	8.0	3.0	16.0
Tnfrsf19	1.0			8.0		4.0	3.0	0.0	4.0	5.0	8.0
Tnfrsf1a	447.0			2423.0		1023.0	1729.0	743.0	2013.0	1500.0	1667.0
Tnfrsf1b	1501.0			7797.0		3305.0	5661.0	2228.0	5440.0	6797.0	5283.0
Tnfrsf21	491.0			2634.0		1174.0	2321.0	643.0	1509.0	734.0	994.0
Tnfrsf22	3.0			10.0		3.0	13.0	6.0	11.0	6.0	20.0
Tnfrsf23	0.0			26.0		14.0	2.0	0.0	14.0	16.0	28.0
Tnfrsf25	0.0			0.0		4.0	1.0	0.0	1.0	1.0	4.0
Tnfrsf26	24.0			118.0		13.0	48.0	4.0	87.0	24.0	116.0
Tnfrsf4	0.0			8.0		4.0	6.0	0.0	8.0	1.0	7.0
Tnfrsf8	13.0			152.0		88.0	61.0	31.0	36.0	121.0	59.0
Tnfrsf9	18.0			76.0		25.0	8.0	32.0	10.0	7.0	147.0
Tnfsf10	13.0			87.0		56.0	60.0	11.0	37.0	11.0	33.0
Tnfsf11	0.0			0.0		0.0	0.0	1.0	2.0	0.0	2.0
Tnfsf12	6.0			15.0		7.0	17.0	0.0	15.0	1.0	21.0
Tnfsf13	8.0			31.0		15.0	20.0	14.0	23.0	13.0	17.0
Tnfsf13b	14.0			79.0		54.0	66.0	24.0	68.0	83.0	213.0
Tnfsf14	25.0			200.0		44.0	100.0	9.0	225.0	15.0	65.0
Tnfsf15	2.0			5.0		3.0	0.0	2.0	2.0	8.0	7.0
Tnfsf18	0.0			1.0		10.0	1.0	0.0	0.0	7.0	7.0
Tnfsf4	1.0			0.0		3.0	2.0	4.0	0.0	4.0	5.0
Tnfsf8	2.0			7.0		7.0	1.0	1.0	5.0	7.0	53.0
Tnfsf9	3.0			49.0		8.0	37.0	2.0	13.0	13.0	141.0
Tnfsfm13	2.0			5.0		6.0	3.0	3.0	5.0	1.0	13.0
Tnik	13.0			43.0		24.0	22.0	8.0	49.0	25.0	28.0
Tnip1	41.0			251.0		123.0	292.0	73.0	180.0	316.0	349.0
Tnip2	75.0			534.0		192.0	454.0	159.0	562.0	396.0	613.0
Tnip3	29.0			95.0		86.0	22.0	48.0	19.0	54.0	496.0
Tnk1	0.0			10.0		0.0	0.0	0.0	3.0	0.0	1.0
Tnk2	6.0			27.0		3.0	27.0	8.0	24.0	10.0	22.0
Tnks	125.0			438.0		204.0	369.0	121.0	488.0	276.0	320.0
Tnks1bp1	13.0			24.0		19.0	21.0	4.0	43.0	20.0	34.0
Tnks2	113.0			502.0		189.0	344.0	153.0	373.0	309.0	462.0
Tnmd	0.0			1.0		2.0	2.0	0.0	2.0	0.0	0.0
Tnn	3.0			7.0		2.0	15.0	7.0	1.0	3.0	5.0
Tnnc1	0.0			1.0		0.0	0.0	0.0	0.0	0.0	0.0
Tnnc2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tnni1	0.0			5.0		5.0	0.0	0.0	1.0	0.0	3.0
Tnni2	2.0			34.0		11.0	36.0	9.0	23.0	19.0	24.0
Tnni3	4.0			6.0		3.0	13.0	0.0	8.0	6.0	23.0
Tnni3k	2.0			4.0		3.0	8.0	1.0	5.0	5.0	5.0
Tnnt1	0.0			5.0		2.0	5.0	3.0	4.0	2.0	4.0
Tnnt2	0.0			10.0		2.0	4.0	2.0	0.0	2.0	9.0
Tnnt3	6.0			38.0		27.0	31.0	6.0	39.0	15.0	9.0
Tnp1	0.0			0.0		0.0	2.0	0.0	0.0	0.0	0.0
Tnp2	0.0			0.0		0.0	0.0	0.0	0.0	1.0	0.0
Tnpo1	226.0			848.0		336.0	851.0	332.0	908.0	811.0	971.0
Tnpo2	35.0			159.0		51.0	146.0	32.0	145.0	115.0	137.0
Tnpo3	146.0			778.0		270.0	520.0	144.0	620.0	462.0	594.0
Tnr	1.0			6.0		10.0	22.0	4.0	2.0	16.0	15.0
Tnrc18	83.0			416.0		192.0	290.0	65.0	275.0	341.0	299.0
Tnrc6a	89.0			404.0		154.0	411.0	135.0	534.0	606.0	607.0
Tnrc6b	112.0			604.0		219.0	574.0	143.0	512.0	452.0	527.0
Tnrc6c	58.0			325.0		100.0	323.0	79.0	256.0	243.0	203.0
Tns1	0.0			24.0		14.0	26.0	7.0	6.0	19.0	404.0
