	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
Hrnr	0	0	1	0	5	0	0	1	0
Hs1bp3	118	50	128	31	52	22	0	68	142
Hs2st1	59	20	46	22	43	9	0	62	46
Hs3st1	3	3	1	0	3	0	0	5	5
Hs3st2	1	1	0	0	1	1	0	1	3
Hs3st3a1	4	0	0	1	5	0	0	1	0
Hs3st3b1	21	5	12	7	10	6	0	20	249
Hs3st4	1	0	5	1	5	0	0	0	1
Hs3st5	4	8	6	1	2	0	0	5	3
Hs3st6	0	0	3	0	0	0	0	0	1
Hs6st1	37	15	47	26	48	14	0	46	63
Hs6st2	2	5	2	0	3	2	0	1	3
Hs6st3	0	0	0	0	0	0	0	0	0
Hsbp1	680	275	606	151	320	110	0	418	683
Hsbp1l1	3	1	2	0	3	0	0	3	0
Hscb	86	52	84	33	27	18	0	78	78
Hsd11b1	245	90	101	41	509	36	0	157	339
Hsd11b2	16	1	5	0	8	1	0	6	1
Hsd17b1	1	0	7	2	2	0	0	0	4
Hsd17b10	433	150	294	81	125	87	0	293	227
Hsd17b11	95	47	91	49	179	30	0	64	93
Hsd17b12	750	218	354	185	405	109	0	502	901
Hsd17b13	1	1	0	0	0	1	0	1	3
Hsd17b14	5	0	2	2	10	0	0	9	3
Hsd17b2	2	1	0	0	13	2	0	6	13
Hsd17b3	2	1	5	0	1	2	0	1	2
Hsd17b4	1344	558	826	244	479	162	0	841	734
Hsd17b6	2	3	2	1	6	1	0	7	0
Hsd17b7	74	23	22	18	32	11	0	50	42
Hsd3b1	0	0	1	3	0	3	0	0	3
Hsd3b2	3	3	3	0	7	0	0	0	1
Hsd3b3	17	2	4	1	6	0	0	0	0
Hsd3b4	0	1	0	0	0	0	0	0	0
Hsd3b5	1	1	0	2	1	0	0	0	0
Hsd3b6	4	0	2	0	0	0	0	1	1
Hsd3b7	0	0	0	0	0	0	0	0	0
Hsdl1	590	253	440	135	135	111	0	529	477
Hsdl2	155	68	133	45	103	32	0	119	177
Hsf1	418	161	277	90	397	80	0	366	402
Hsf2	268	131	300	163	313	82	0	267	290
Hsf2bp	2	1	0	1	4	1	0	1	10
Hsf3	1	1	1	0	6	0	0	0	11
Hsf4	1	0	1	0	0	0	0	0	0
Hsf5	5	4	2	3	7	0	0	4	2
Hsfy2	13	5	2	0	8	0	0	0	1
Hsh2d	81	24	53	11	7	20	0	40	8
Hsp90aa1	261	105	216	52	338	37	0	171	484
Hsp90ab1	7116	2666	5090	1357	4222	1041	0	3503	8496
Hsp90b1	2546	1282	1635	775	1131	428	0	2053	3567
Hspa12a	1	3	3	0	1	1	0	4	10
Hspa12b	3	3	2	0	12	0	0	4	7
Hspa13	155	103	162	71	136	36	0	171	364
Hspa14	385	149	334	93	263	75	0	295	368
